total,success,failure,corruptRecords
18586,0,18586,
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 1, 0), 'Temp_C': '12.99'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 1, 10), 'Temp_C': '12.99'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 1, 20), 'Temp_C': '12.71'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 1, 30), 'Temp_C': '12.71'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 1, 40), 'Temp_C': '12.71'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 1, 50), 'Temp_C': '12.71'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 2, 0), 'Temp_C': '12.71'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 2, 10), 'Temp_C': '12.71'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 2, 20), 'Temp_C': '12.71'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 2, 30), 'Temp_C': '12.71'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 2, 40), 'Temp_C': '12.71'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 2, 50), 'Temp_C': '12.71'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 3, 0), 'Temp_C': '12.71'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 3, 10), 'Temp_C': '12.71'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 3, 20), 'Temp_C': '12.71'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 3, 30), 'Temp_C': '12.71'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 3, 40), 'Temp_C': '12.71'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 3, 50), 'Temp_C': '12.71'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 4, 0), 'Temp_C': '12.71'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 4, 10), 'Temp_C': '12.71'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 4, 20), 'Temp_C': '12.71'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 4, 30), 'Temp_C': '12.71'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 4, 40), 'Temp_C': '12.71'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 4, 50), 'Temp_C': '12.71'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 5, 0), 'Temp_C': '12.71'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 5, 10), 'Temp_C': '12.71'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 5, 20), 'Temp_C': '12.71'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 5, 30), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 5, 40), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 5, 50), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 6, 0), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 6, 10), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 6, 20), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 6, 30), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 6, 40), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 6, 50), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 7, 0), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 7, 10), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 7, 20), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 7, 30), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 7, 40), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 7, 50), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 8, 0), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 8, 10), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 8, 20), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 8, 30), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 8, 40), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 8, 50), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 9, 0), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 9, 10), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 9, 20), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 9, 30), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 9, 40), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 9, 50), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 10, 0), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 10, 10), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 10, 20), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 10, 30), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 10, 40), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 10, 50), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 11, 0), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 11, 10), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 11, 20), 'Temp_C': '11.84'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 11, 30), 'Temp_C': '11.84'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 11, 40), 'Temp_C': '11.84'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 11, 50), 'Temp_C': '11.84'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 12, 0), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 12, 10), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 12, 20), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 12, 30), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 12, 40), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 12, 50), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 13, 0), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 13, 10), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 13, 20), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 13, 30), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 13, 40), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 13, 50), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 14, 0), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 14, 10), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 14, 20), 'Temp_C': '11.84'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 14, 30), 'Temp_C': '11.84'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 14, 40), 'Temp_C': '11.84'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 14, 50), 'Temp_C': '11.84'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 15, 0), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 15, 10), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 15, 20), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 15, 30), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 15, 40), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 15, 50), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 16, 0), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 16, 10), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 16, 20), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 16, 30), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 16, 40), 'Temp_C': '11.84'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 16, 50), 'Temp_C': '11.84'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 17, 0), 'Temp_C': '11.84'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 17, 10), 'Temp_C': '11.84'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 17, 20), 'Temp_C': '11.84'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 17, 30), 'Temp_C': '11.84'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 17, 40), 'Temp_C': '11.84'}"
